date,number_of_checks-no_verification,count-nombre
2021-07-11,30+,<20
2021-07-12,0,<20
2021-07-12,1-6,<20
2021-07-12,7-12,<20
2021-07-12,13-30,<20
2021-07-12,30+,<20
2021-07-13,0,<20
2021-07-13,1-6,<20
2021-07-13,7-12,<20
2021-07-13,13-30,<20
2021-07-13,30+,<20
2021-07-14,0,<20
2021-07-14,1-6,<20
2021-07-14,7-12,<20
2021-07-14,13-30,<20
2021-07-14,30+,<20
2021-07-15,0,<20
2021-07-15,1-6,<20
2021-07-15,7-12,<20
2021-07-15,13-30,<20
2021-07-15,30+,<20
2021-07-16,0,<20
2021-07-16,1-6,<20
2021-07-16,7-12,<20
2021-07-16,13-30,<20
2021-07-16,30+,<20
2021-07-17,0,<20
2021-07-17,1-6,<20
2021-07-17,7-12,<20
2021-07-17,13-30,<20
2021-07-17,30+,<20
2021-07-18,0,<20
2021-07-18,1-6,<20
2021-07-18,7-12,<20
2021-07-18,13-30,<20
2021-07-18,30+,<20
2021-07-19,0,<20
2021-07-19,1-6,<20
2021-07-19,7-12,<20
2021-07-19,13-30,<20
2021-07-19,30+,<20
2021-07-20,0,<20
2021-07-20,1-6,<20
2021-07-20,7-12,<20
2021-07-20,13-30,<20
2021-07-20,30+,<20
2021-07-21,0,<20
2021-07-21,1-6,<20
2021-07-21,7-12,<20
2021-07-21,13-30,<20
2021-07-21,30+,<20
2021-07-22,0,<20
2021-07-22,1-6,<20
2021-07-22,7-12,<20
2021-07-22,13-30,<20
2021-07-22,30+,<20
2021-07-23,0,<20
2021-07-23,1-6,<20
2021-07-23,7-12,<20
2021-07-23,13-30,<20
2021-07-23,30+,<20
2021-07-24,0,<20
2021-07-24,1-6,<20
2021-07-24,7-12,<20
2021-07-24,13-30,<20
2021-07-24,30+,<20
2021-07-25,0,<20
2021-07-25,1-6,<20
2021-07-25,7-12,<20
2021-07-25,13-30,<20
2021-07-25,30+,<20
2021-07-26,0,<20
2021-07-26,1-6,<20
2021-07-26,7-12,<20
2021-07-26,13-30,<20
2021-07-26,30+,<20
2021-07-27,0,<20
2021-07-27,1-6,<20
2021-07-27,7-12,<20
2021-07-27,13-30,<20
2021-07-27,30+,<20
2021-07-28,0,<20
2021-07-28,1-6,<20
2021-07-28,7-12,<20
2021-07-28,13-30,<20
2021-07-28,30+,<20
2021-07-29,0,<20
2021-07-29,1-6,<20
2021-07-29,7-12,<20
2021-07-29,13-30,<20
2021-07-29,30+,<20
2021-07-30,0,<20
2021-07-30,1-6,<20
2021-07-30,7-12,<20
2021-07-30,13-30,<20
2021-07-30,30+,<20
2021-07-31,0,<20
2021-07-31,1-6,<20
2021-07-31,7-12,<20
2021-07-31,13-30,<20
2021-07-31,30+,<20
2021-08-01,0,<20
2021-08-01,1-6,<20
2021-08-01,7-12,<20
2021-08-01,13-30,<20
2021-08-01,30+,<20
2021-08-02,0,<20
2021-08-02,1-6,<20
2021-08-02,7-12,<20
2021-08-02,13-30,<20
2021-08-02,30+,<20
2021-08-03,0,<20
2021-08-03,1-6,<20
2021-08-03,7-12,<20
2021-08-03,13-30,<20
2021-08-03,30+,<20
2021-08-04,0,<20
2021-08-04,1-6,<20
2021-08-04,7-12,<20
2021-08-04,13-30,<20
2021-08-04,30+,<20
2021-08-05,0,<20
2021-08-05,1-6,<20
2021-08-05,7-12,<20
2021-08-05,13-30,<20
2021-08-05,30+,<20
2021-08-06,0,<20
2021-08-06,1-6,<20
2021-08-06,7-12,<20
2021-08-06,13-30,<20
2021-08-06,30+,<20
2021-08-07,0,<20
2021-08-07,1-6,<20
2021-08-07,7-12,<20
2021-08-07,13-30,<20
2021-08-07,30+,<20
2021-08-08,0,<20
2021-08-08,1-6,<20
2021-08-08,7-12,<20
2021-08-08,13-30,<20
2021-08-08,30+,<20
2021-08-09,0,<20
2021-08-09,1-6,<20
2021-08-09,7-12,<20
2021-08-09,13-30,<20
2021-08-09,30+,<20
2021-08-10,0,<20
2021-08-10,1-6,<20
2021-08-10,7-12,<20
2021-08-10,13-30,<20
2021-08-10,30+,<20
2021-08-11,0,<20
2021-08-11,1-6,<20
2021-08-11,7-12,<20
2021-08-11,13-30,<20
2021-08-11,30+,<20
2021-08-12,0,<20
2021-08-12,1-6,<20
